PersonnageID,CompagnonID
1,5
1,13
1,24
1,85
1,117
1,127
4,112
6,16
6,80
6,117
7,26
8,56
8,116
11,1
11,22
11,42
12,34
12,38
12,45
12,76
12,144
13,15
13,88
13,117
13,136
14,93
14,108
14,119
16,6
16,80
16,101
17,18
17,67
17,162
18,17
18,67
18,162
19,50
19,137
20,76
20,122
20,175
20,176
21,64
22,11
22,42
26,7
27,34
27,104
28,44
28,91
29,18
29,149
30,39
30,109
30,165
33,30
33,39
33,55
33,81
33,94
34,12
34,27
34,65
34,91
34,104
38,12
38,91
39,30
39,33
39,55
39,81
39,94
40,30
40,33
40,55
40,81
40,94
41,57
41,63
41,102
41,130
41,148
41,156
42,11
42,22
43,66
45,12
45,123
46,30
46,39
48,91
49,56
49,91
49,116
50,19
50,137
55,30
55,33
55,39
55,81
55,94
56,44
56,91
56,116
57,41
57,63
57,102
57,130
57,148
57,156
60,84
60,129
60,132
60,157
62,1
62,127
63,41
63,57
63,102
63,130
63,148
63,156
64,21
64,141
65,34
65,127
66,13
66,43
67,17
67,18
67,162
68,73
69,152
73,68
74,117
74,118
75,125
79,38
79,103
80,6
81,30
81,33
81,39
81,55
81,94
84,60
84,129
84,132
84,157
90,13
90,168
91,28
91,34
91,38
91,44
91,56
93,14
93,108
93,115
93,119
94,30
94,33
94,39
94,55
94,81
96,12
100,8
100,56
100,160
101,6
102,41
102,57
102,63
102,130
102,148
102,156
103,79
104,27
104,34
108,14
108,93
108,115
108,119
109,30
109,39
110,133
111,8
111,56
111,116
111,160
114,135
114,143
115,93
115,108
117,6
117,13
117,59
117,66
117,70
117,74
117,88
117,118
118,74
118,117
119,14
119,93
119,108
122,20
122,76
122,175
122,176
125,75
126,128
128,126
129,60
129,84
129,132
129,157
130,41
130,57
130,63
130,102
130,148
130,156
132,60
132,84
132,129
132,157
133,110
134,12
135,114
135,143
137,19
137,50
139,7
141,21
141,64
143,114
143,135
145,170
148,41
148,57
148,63
148,102
148,130
148,156
156,41
156,57
156,63
156,102
156,130
156,148
157,60
157,84
157,129
157,132
160,8
160,111
160,116
162,67
165,30
166,116
168,90
169,37
169,91
170,12
170,145
175,20
175,76
175,122
175,176
176,20
176,76
176,122
176,175
177,13
177,117
177,178
178,13
178,117
178,177
